realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-09-25 01:30:29.515,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:30.036,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:30.555,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:31.075,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:31.596,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:32.115,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:32.636,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:33.155,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:33.675,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:34.196,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:34.715,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:35.236,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:35.756,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:36.275,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:36.796,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:37.315,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:37.835,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:38.356,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:38.875,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:39.396,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:39.915,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:40.435,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:40.956,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:41.475,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:41.996,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:42.516,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:43.035,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:43.556,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:44.075,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:44.595,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:45.116,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:45.635,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:46.156,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:46.675,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:47.195,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:47.716,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:48.235,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:48.756,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:49.275,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:49.795,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:50.316,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:50.835,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:51.355,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:51.876,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:52.395,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:52.916,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:53.435,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:53.955,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:54.476,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:54.995,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:55.516,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:56.035,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:56.555,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:57.076,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:57.595,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:58.115,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:58.636,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:59.155,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:30:59.675,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:31:00.196,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:31:00.715,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:31:01.235,W,0,1,0,0,0,0,0,0,0
2022-09-25 01:31:01.756,W,0,1,0,0,0,0,0,0,0
